"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"Biological and Environmental Research",1,1,1,"28245064","FRED"
"National Institute of Justice",1,1,1,"29175726","FROG-kb"
"Forensic Technology Center of Excellence",1,1,1,"29175726","FROG-kb"
"National Institute of Justice, Office of Investigative Sciences",1,1,1,"29175726","FROG-kb"
"National Eye Institute",5,5,5,"29337142, 33206959, 33290552, 30417254, 33237286","Express, IntAct, GOC, iSyTE, UniProtKB"
"Intramural EPA",1,1,1,"29683130","EnviroAtlas"
"U.S. Environmental Protection Agency",1,1,1,"29683130","EnviroAtlas"
"Office of Research and Development",1,1,1,"29683130","EnviroAtlas"
"Welch Foundation",6,4,4,"29890119, 30418591, 33973408, 33021634","FlyXCDB, HumanNet, hu.MAP, NDB"
"Consellería de Cultura, Educación e Ordenación Universitaria, Xunta de Galicia",1,1,1,"30235322","GC4S"
"Heilongjiang Education Department Fund",2,1,1,"30321400","EWASdb"
"Heilongjiang Postdoctoral",1,1,1,"30321400","EWASdb"
"Fundamental Research Funds",3,3,3,"30321400, 31642484, 33095866","EWASdb, SilkDB, VARAdb"
"Foundation against Cancer",2,1,1,"30357379","EndoDB"
"Fritz Thyssen Stiftung",1,1,1,"30357379","EndoDB"
"National Institute of Neurological Disorders and Stroke",9,2,2,"30357403, 26048622","EncoMPASS, PedsDTI"
"National Programs for High Technology Research and Development",6,3,3,"30357418, 30364969, 30364952","EDK, EWAS Atlas, PED"
"Chinese Academy of Science",2,1,1,"30357418","EDK"
"National Key Research &amp; Development Program of China",2,2,2,"30357418, 30364952","EDK, PED"
"International Partnership Program of the Chinese Academy of Sciences",6,6,6,"30364969, 31584095, 28387199, 30371881, 30364952, 33170268","EWAS Atlas, EWAS, GSA, iDog, PED, GVM"
"National Key Research Program of China",14,7,7,"30364969, 33119759, 28387199, 30371881, 30252093, 30335176, 31620779","EWAS Atlas, gcType, GSA, iDog, iProX, NucMap, prokaryotic antiviral defense system"
"13th Five-year Informatization Plan of Chinese Academy of Sciences",7,6,6,"30364969, 30365027, 31584095, 30371881, 30364952, 33170268","EWAS Atlas, gcMeta, EWAS, iDog, PED, GVM"
"National key Research Program of China",6,1,1,"30365027","gcMeta"
"Developing Countries Around China",1,1,1,"30365027","gcMeta"
"National Science Foundation for Young Scientists of China",3,2,2,"30365027, 33119759","gcMeta, gcType"
"Major State Basic Research Development Program",1,1,1,"30365027","gcMeta"
"Key Research Program of the Chinese Academy of Sciences",2,2,2,"30365027, 33175170","gcMeta, 2019nCoVR"
"Central public welfare research institutes",1,1,1,"30365030","ETCM"
"National Key Technology R&amp;D Program of China",2,1,1,"30365030","ETCM"
"Program of China",1,1,1,"30365030","ETCM"
"Key project at central government",1,1,1,"30365030","ETCM"
"NIAMS NIH HHS",6,6,6,"30407583, 31642488, 30397019, 32777102, 33174596, 29487113","FusionGDB, ExonSkipDB, iProteinDB, MSK-KP, MitoCarta, Panorama Public"
"Farmer Welfare",1,1,1,"30611878","FisOmics"
"Centre for Agricultural Bioinformatics",1,1,1,"30611878","FisOmics"
"Department of Agricultural Research and Education, Ministry of Agriculture",1,1,1,"30611878","FisOmics"
"ICAR-Indian Agricultural Statistics Research Institute",1,1,1,"30611878","FisOmics"
"Tsinghua-Fuzhou Institute for Data Technology",1,1,1,"30788500","EnDisease"
"Volkswagen Foundation",1,1,1,"30864352","GenCoNet"
"International DFG Research Training Group GRK",1,1,1,"30864352","GenCoNet"
"Frank McGraw Memorial Chair in Cancer Research",1,1,1,"30951672","exRNA Atlas"
"American Cancer Society",2,2,2,"30951672, 25382819","exRNA Atlas, ProKinO"
"National Nature Scientific Foundation of China",3,2,2,"31164042, 32608478","EmExplorer, RNAWRE"
"Fund for Excellent Young Scholars of Inner Mongolia",1,1,1,"31164042","EmExplorer"
"Program for Young Talents of Science and Technology in Universities of Inner Mongolia Autonomous Region",1,1,1,"31164042","EmExplorer"
"Plasma Protein Therapeutics Association Europe",1,1,1,"31263866","ESID"
"EURO-POLICY-PID",1,1,1,"31263866","ESID"
"BMBF",4,1,1,"31263866","ESID"
"ESID society",1,1,1,"31263866","ESID"
"European and National Grants",1,1,1,"31263866","ESID"
"Tip-top Scientific and Technical Innovative Youth Talents of Guangdong special support program",2,1,1,"31598693","EuRBPDB"
"Guangzhou Bureau of Science and Information Technology",5,1,1,"31598693","EuRBPDB"
"CAST",2,1,1,"31642496","Gene4Denovo"
"Natural Science Foundation for Young Scientists of Hunan Province, China",1,1,1,"31642496","Gene4Denovo"
"The Fundamental Research Funds for the Provincial Universities",1,1,1,"31665430","ENdb"
"National Competitiveness and Excellence Program",1,1,1,"31686102","FoldamerDB"
"Central Public-Interest Scientific Institution Basal Research Fund",3,1,1,"31774482","FluReassort"
"Non-profit Central Research Institute Fund of Chinese Academy of Medical Sciences",1,1,1,"31774482","FluReassort"
"National Basic Research Program of China",1,1,1,"31774482","FluReassort"
"CAMS Initiative for Innovative Medicine",1,1,1,"31774482","FluReassort"
"Shanghai Jiao Tong University",6,5,5,"31887789, 30032758, 31642469, 32221380, 30407568","ETph, HFMDB, PhenoModifier, WeiBI, ICEberg"
"Interdisciplinary Program of Shanghai Jiao Tong University",2,1,1,"31887789","ETph"
"Chinese Academy of Sciences of China",1,1,1,"32120139","FRCD"
"Natural Science Foundation of Tianjin, China",1,1,1,"32120139","FRCD"
"CAS STS program",1,1,1,"32120139","FRCD"
"Scientific Research Conditions and Technical Support System Program",1,1,1,"32120139","FRCD"
"Australian Museum",1,1,1,"32123502","FrogID"
"Guangzhou Municipal Key Discipline in Medicine",1,1,1,"32219413","FerrDb"
"Key Laboratory for Innovation Platform Plan, Science and Technology Program of Guangzhou, China",1,1,1,"32219413","FerrDb"
"Guangzhou Municipal Psychiatric Disease Clinical Transformation Laboratory",1,1,1,"32219413","FerrDb"
"Deutsches Zentrum für Herz-Kreislaufforschung",1,1,1,"32459338","EpiRegio"
"Natural Science Foundation of Chongqing of China",2,1,1,"32591816","ExoBCD"
"Science and Technology Innovation Commission of Shenzhen",1,1,1,"32591816","ExoBCD"
"Science Innovation Program of College of Laboratory Medicine; Chongqing Medical University",1,1,1,"32591816","ExoBCD"
"Science and Technology Research Program of Chongqing Municipal Education Commission",1,1,1,"32591816","ExoBCD"
"European Union Horizon 2020",2,2,2,"32726198, 32548865","EnteroBase, UK Immunological Toolbox"
"Deutsches Zentrum für Infektionsforschung",1,1,1,"32726198","EnteroBase"
"Niedersächsische Ministerium für Wissenschaft und Kultur",1,1,1,"32726198","EnteroBase"
"the Natural Science Foundation of Tianjin",1,1,1,"33002112","EnzyMine"
"CAS STS programme",1,1,1,"33002112","EnzyMine"
"Scientific Research Conditions and Technical Support System Programme",1,1,1,"33002112","EnzyMine"
"International Partnership Programme of Chinese Academy of Sciences of China",1,1,1,"33002112","EnzyMine"
"National Key Research and Development Programme of China",1,1,1,"33002112","EnzyMine"
"European Social Fund",4,4,4,"33119759, 32556221, 30380112, 33367605","gcType, OMEGA-NET, Translocatome, Virxicon"
"Czech Science Foundation",2,2,2,"33166383, 31584092","FireProtDB, PDBe-KB"
"The Ministry of Education, Youth and Sports",4,1,1,"33166383","FireProtDB"
"Brno University of Technology",1,1,1,"33166383","FireProtDB"
"Operational Programme Research, Development and Education",1,1,1,"33166383","FireProtDB"
"China National Basic Research Program",1,1,1,"33497436","FifBase"
"Program of Shaanxi Province Science and Technology Innovation Team",1,1,1,"33497436","FifBase"
"Mathematical Tianyuan Fund",1,1,1,"33497436","FifBase"
"The State Key Laboratory of Integrated Management of Pest Insects and Rodents",1,1,1,"33511767","FAWMine"
"Precursory Research for Embryonic Science and Technology",1,1,1,"33511845","FMODB"
"University of British Columbia Four–Year Doctoral Fellowship",1,1,1,"33599246","Gemma"
"FIOCRUZ",1,1,1,"33995920","ExVe"
"National Institute of Health",5,4,4,"34010390, 32436932, 27188311, 30407596","Echinobase, miRactDB, Structure Surfer, Cancer3D"
"Binational Science Foundation",1,1,1,"34010390","Echinobase"
"Russian Science Foundation",11,9,7,"34158935, 29401218, 31588507, 31598695, 28011601, 28110602, 33242091, 33231677, 30759212","GEMI, MutHTP, VDJdb, MirGeneDB, CSDB_GT, SitEx, GTRD"
"Alfred P. Sloan Foundation",3,3,3,"34158935, 30985146, 30371820","GEMI, ProteinExplorer, UNITE"
"Intramural NASA",1,1,1,"34158935","GEMI"
"John Templeton Foundation",1,1,1,"34158935","GEMI"
"W. M. Keck Foundation",1,1,1,"34158935","GEMI"
"Eesti Teadusagentuur",4,1,1,"34493866","eQTL"
"European Molecular Biology Laboratory",19,18,17,"34493866, 31647096, 31696235, 30020414, 33206959, 33290552, 31701150, 33270111, 31584097, 33237286, 31680160, 33166387, 30357387, 33156333, 33170273, 31691826, 31722421, 33175160","eQTL, proGenomes2, MGnify, SKEMPI, IntAct, GOC, BioModels, GENCODE, IGSR, UniProtKB, ELM, International Nucleotide Sequence Database Collaboration, ArrayExpress, InterPro, Gramene, Ensembl, ENA"
"EC | European Regional Development Fund",1,1,1,"34493866","eQTL"
"European Bioinformatics Institute",4,4,3,"34493866, 31584089, 31691815, 32486891","eQTL, PhaSepDB, Reactome"
"Open Targets",5,5,5,"34493866, 33237286, 33125078, 33156333, 33170273","eQTL, UniProtKB, Pfam, InterPro, Gramene"
"Health Food Chain Safety and Environment",1,1,1,"34626475","FEDA"
"General Secretariat for Research and Technology",2,2,2,"34741074, 32248568","Fibromine, FINDbase"
"Max Planck Society",1,1,1,"34793786","FCCP"
"Sichuan Science and Technology Program",2,2,2,"35694152, 31504189","EnhFFL, MeLAD"
"Institute of Cancer Research, Medical University of Vienna",1,1,1,"21337704","GPDE"
"Christian Doppler Research Association, Austria and the Austrian “Krebshilfe”",1,1,1,"21337704","GPDE"
"GPDE at the Medical University of Vienna",1,1,1,"21337704","GPDE"
"Italian Telethon Foundation",1,1,1,"21435384","HOCTARdb"
"DST/NRF Research Chair",1,1,1,"21930248","HCVpro"
"National Research Foundation (South Africa)",1,1,1,"21930248","HCVpro"
"National Bioinformatics Network",1,1,1,"21930248","HCVpro"
"British Heart Foundation",25,22,14,"22123736, 24217912, 26314736, 22954629, 23619930, 24297257, 31584092, 22881376, 27899622, 25378336, 23087376, 33237286, 24234451, 27899567, 22102590, 30395267, 30395331, 23161681, 23161678, 24253303, 25348405, 30395287","GOA, HPO, GlycoMob, MaConDa, MRIdb, NECTAR, PDBe-KB, UCL LDLR, UniProt, IUPHAR-DB, UniProtKB, IntAct, GOC, RNAcentral"
"Lundbeck Foundation",11,9,5,"23143109, 24304901, 24194598, 27794045, 33270898, 29155946, 29140473, 30664776, 25723102","HemaExplorer, GPCRDB, JASPAR, FANTOM5, GPCRdb"
"Fight for Sight",1,1,1,"24217912","HPO"
"Indian Institute of Science, Bangalore",1,1,1,"25450223","HIGDB"
"Supercomputer Education and Research Centre",1,1,1,"25450223","HIGDB"
"management of VIT University",1,1,1,"25450223","HIGDB"
"Indian Council of Medical Research (ICMR)",1,1,1,"25450223","HIGDB"
"PRIN project",1,1,1,"27045824","GPKB"
"Data-Driven Genomic Computing (GenData 2020)",1,1,1,"27045824","GPKB"
"Italian Ministry of the University and Research",1,1,1,"27045824","GPKB"
"Hundred Talent of Chinese Academy of Sciences",1,1,1,"27098585","Grape-CRISPR"
"Science Foundation Ireland Strategic Research Cluster (SRC) programme to Alimentary Glycoscience Research Cluster",1,1,1,"27436239","GlycoGAIT"
"European Union FP7 programme in support of the GlycoHIT project",1,1,1,"27436239","GlycoGAIT"
"NCCIH NIH HHS",2,2,2,"27504778, 31612915","GNPS, MIBiG"
"FIC NIH HHS",7,4,4,"27504778, 23161692, 23457042, 22116064","GNPS, SchistoDB, RCPedia, TDR Targets"
"Grantová Agentura eské Republiky",1,1,1,"27527702","HCVIVdb"
"Univerzita Karlova v Praze ()",1,1,1,"27527702","HCVIVdb"
"Research Committee of the Technological Educational Institution (T.E.I.) of Athens, Greece",1,1,1,"28083826","HICL"
"Key Program of the Chinese Academy of Sciences",1,1,1,"28387199","GSA"
"National High-tech R&amp;D Program",2,1,1,"28387199","GSA"
"Key Technology Talent Program of the Chinese Academy of Sciences",2,2,2,"28387199, 33175170","GSA, 2019nCoVR"
"Oregon State University",3,3,3,"28415075, 28490127, 26973684","HopBase, Milk bioactive peptide database, FragariaCyc"
"Southeast University",1,1,1,"28529078","HCSGD"
"Tsinghua University",1,1,1,"28529078","HCSGD"
"Università di Catania",1,1,1,"28708269","HemeOxDB"
"NIAID",2,1,1,"29028885","HoTResDB"
"Grant-in-Aid for Scientific Research",2,1,1,"29532461","HpBase"
"Joint Usage/Educational Center",1,1,1,"29532461","HpBase"
"Grant-in-Aid for Young Scientists",1,1,1,"29532461","HpBase"
"Next-Generation BioGreen21 Program",1,1,1,"29649979","Ginseng Genome Database"
"University of Calgary",1,1,1,"30032758","HFMDB"
"The Canadian Institutes of Health Research",1,1,1,"30032758","HFMDB"
"Western Economic Diversification",1,1,1,"30032758","HFMDB"
"Alberta Innovates - Health Solutions",1,1,1,"30032758","HFMDB"
"School of Medicine",1,1,1,"30032758","HFMDB"
"Shanghai Committee of Science and Technology",2,1,1,"30053237","HDncRNA"
"Fund for Subject Pi lot Program of Tongji University to Luying Peng",1,1,1,"30053237","HDncRNA"
"Fund of the Key Laboratory of Regenerative Biology of Chinese Academy of Science",1,1,1,"30053237","HDncRNA"
"Students Innovation Training Program",1,1,1,"30053237","HDncRNA"
"National Key Basic Research Program",2,2,2,"30066211, 32761141","HAMdb, SPDB"
"National Cancer Center",1,1,1,"30247654","HACER"
"Tsinghua University Initiative Scientific Research Program",1,1,1,"30266410","HCCDB"
"Worldwide Cancer Research",2,2,2,"30371888, 27899581","HmtVar, HmtDB"
"DHOMOS Worldwide Cancer Research",1,1,1,"30371888","HmtVar"
"Department of Biotechnology, Ministry of Science and Technology",5,4,4,"30703169, 29220464, 30307523, 29432422","HuVarBase, KiPho, PVsiRNAdb, TopicalPdb"
"Science and Engineering Research Board (IN), JC Bose fellowship",1,1,1,"30999860","HumCFS"
"Shanghai Municipal Science and Technology Major Project",4,4,4,"31504765, 31584086, 31640808, 29617941","GMrepo, PGG.Han, PGG.SNV, SCRIPT-MAP"
"Natural Science Foundation of Shanghai",3,3,3,"31504765, 27148975, 33084874","GMrepo, SpinachDB, OGEE"
"BLRD VA",3,2,2,"31509535, 30365026","GutFeelingKB, Victors"
"Medical Scientific Research Foundation of Guangdong Province",2,1,1,"31524396","HybridMolDB"
"Ministry of Education of the People&apos;s Republic of China",2,2,2,"31524396, 33984507","HybridMolDB, HisPhosSite"
"The Youth Innovation Promotion Association of Chinese Academy of Sciences",1,1,1,"31566222","GWAS Atlas"
"K.C. Wong Education Foundation",1,1,1,"31566222","GWAS Atlas"
"The 100 Talent Program of the Chinese Academy of Sciences",1,1,1,"31566222","GWAS Atlas"
"The Tou-Yan Innovation Team Program of the Heilongjiang Province",1,1,1,"31584099","gutMDisorder"
"Heilongjiang Province Postdoctoral Fund",2,1,1,"31584099","gutMDisorder"
"Peking University",2,2,2,"31630971, 33359127","GESUR, NBIGV"
"Key Technologies R&amp;D Program",1,1,1,"31630971","GESUR"
"Beijing Nova Program",3,3,3,"31725860, 31086734, 31021279","HisgAtlas, OsteoporosAtlas, UVGD"
"Natural Science Foundation of Hubei",1,1,1,"31783725","HKPocket"
"self-determined research funds of CCNU from the colleges' basic research and operation of MOE",1,1,1,"31783725","HKPocket"
"self-determined research funds of CCNU from the colleges’ basic research and operation of MOE",1,1,1,"31783725","HKPocket"
"Taiwan Ministry of Science and Technology",9,3,3,"31976536, 29648583, 34285772","HBDB, LipidPedia, Yeast Phosphoinositide-Binding Proteins"
"National Taiwan University",5,2,2,"31976536, 29648583","HBDB, LipidPedia"
"Joint School of Life Sciences",1,1,1,"32055858","GREG"
"Guangzhou Medical University",1,1,1,"32055858","GREG"
"European Union’s Horizon 2020 Framework Program for Research and Innovation",1,1,1,"32163115","GRALL"
"Ecole Doctorale des Sciences Chimiques",1,1,1,"32163115","GRALL"
"Transformation Project in Scientific and Technological Achievements",1,1,1,"32315389","HotSpot3D"
"Thomas F. and Kate Miller Jeffress Memorial Trust",1,1,1,"32330167","geoBoundaries"
"Scientific and Technical Innovative Youth Talents of Guangdong",1,1,1,"32496513","gutMEGA"
"Ministerstvo Školství, Mládeže a Tělovýchovy (Ministry of Education, Youth and Sports)",1,1,1,"32661237","GlobalFungi"
"Ministerstvo Školství, Mládeže a Tělovýchovy",4,2,2,"32661237, 30622655","GlobalFungi, REXdb"
"European Union’s Horizon 2020 Research and Innovation Programme",1,1,1,"32707486","hPSCreg"
"Two-hundred Talent",1,1,1,"32941628","IDDB"
"Chinese National Precise Medical Research",1,1,1,"32941628","IDDB"
"Shanghai Health and Family Planning System Excellent Subject Leader and Excellent Young Medical Talents Training Program",2,1,1,"32941628","IDDB"
"Clinical Rese Clinical Research Program of 9th People&apos;s Hospital",1,1,1,"32941628","IDDB"
"Key New Drug Creation and Manufacturing Program",1,1,1,"32941628","IDDB"
"Key R&amp;D Program of Zhejiang Province",2,2,2,"33045729, 33010159","GIMICA, PROTAC-DB"
"Zhejiang University",1,1,1,"33045729","GIMICA"
"China Knowledge Centre for Engineering Sciences and Technology",1,1,1,"33045729","GIMICA"
"Technology Innovation and Application Demonstration Project of Chongqing",1,1,1,"33045729","GIMICA"
"Cancer Prevention Research Institute of Texas",3,1,1,"33119754","HeRA"
"Cancer Prevention Research Training Program",1,1,1,"33119754","HeRA"
"United States Public Health Service",2,1,1,"33125055","HbVar"
"Golden Helix Foundation",1,1,1,"33125055","HbVar"
"Korea Research Institute of Bioscience and Biotechnology",1,1,1,"33137185","iCSDB"
"Clinical Research Plan of SHDC",1,1,1,"33151298","GRNdb"
"Shanghai Municipal Health Commission",1,1,1,"33151298","GRNdb"
"Helmholtz Association",2,2,2,"33221926, 31728526","HumanMetagenomeDB, TerrestrialMetagenomeDB"
"Syngenta Seeds SAS",1,1,1,"33237299","GreenPhylDB"
"CGIAR Research Program, Roots, Tubers and Bananas",1,1,1,"33237299","GreenPhylDB"
"China Postdoctoral Innovative Talent Foundation",2,2,2,"33264402, 33196801","HERB, NONCODE"
"National Natural Science Foundation for Young Scholars of China",5,2,2,"33264402, 30380087","HERB, SymMap"
"BMICC of National Population Health Data Center",1,1,1,"33264402","HERB"
"Tip-top Scientific and Technical Innovative Youth Talents of Guangdong Special Support Program",1,1,1,"33406221","iCysMod"
"Key program for Department of Science and Technology of Qinghai province",1,1,1,"33406221","iCysMod"
"Digitalization of Biological Resource Project",1,1,1,"33417691","HGFDB"
"Research project of education department of zhejiang province",1,1,1,"33677507","HIR"
"Science and technology project of Taizhou City",1,1,1,"33677507","HIR"
"Humanities and Social Science Project of the Chinese Ministry of Education",1,1,1,"33677507","HIR"
"German Academic Exchange Service",4,2,2,"33740463, 33051671","ICSCB, StreptomeDB"
"King Abdullah University of Science and Technology",4,3,3,"33929018, 31160594, 30329098","IBDDB, PathoPhenoDB, LncBook"
"Eunice Kennedy Shriver National Institute of Child Health and Human Development",2,1,1,"33973408","hu.MAP"
"National Heart, Lung, and Blood Institute",12,11,8,"33973408, 31701147, 25102069, 27643925, 33206959, 33290552, 33237286, 30395331, 27602200, 31713623, 34741192","hu.MAP, LINCS, Panorama, StemCellCKB, IntAct, GOC, UniProtKB, RGD"
"Division of Loan Repayment",1,1,1,"33973408","hu.MAP"
"Jiangsu Province Department of Human Resources and Social Security",1,1,1,"33984507","HisPhosSite"
"norway research council through r&amp;d",1,1,1,"34330336","HumGut"
"Jilin Province Key Laboratory of Big Data Intelligent Computing",1,1,1,"34642750","HBFP"
"Development Project of Jilin Province of China",3,1,1,"34642750","HBFP"
"Guangdong Key Project for Applied Fundamental Research",1,1,1,"34642750","HBFP"
"university of milano-bicocca",1,1,1,"34699529","GH19ED"
"Fostering Fund of Fundamental Research for Young Teachers of Zhengzhou University",1,1,1,"34907423","iCAV"
"Guangdong Esophageal Cancer Institute Science and Technology Program",1,1,1,"34907423","iCAV"
"Tip-Top Scientific and Technical Innovative Youth Talents of Guangdong special support program",1,1,1,"34907423","iCAV"
"University of Athens",1,1,1,"23262288","LepChorionDB"
"National High-Tech Research and Development Program",2,1,1,"23601370","LiverAtlas"
"Chinese National Basic Research Program",1,1,1,"23601370","LiverAtlas"
"Beijing Municipal Natural Science Foundation",1,1,1,"23601370","LiverAtlas"
"National Science Council of the Republic of China",5,1,1,"24525374","lncRNAMap"
"UST-UCSD International Center of Excellence in Advanced Bio-Engineering",3,1,1,"24525374","lncRNAMap"
"Asia University",1,1,1,"24525374","lncRNAMap"
"MOE ATU",1,1,1,"24525374","lncRNAMap"
"Universiti Malaya (MY) UM Research Grant (UMRG)",1,1,1,"26444974","ListeriaBase"
"Universiti Malaya (MY) High Impact Research Grant UM-MOHE",1,1,1,"26444974","ListeriaBase"
"Virginia Polytechnic Institute and State University",1,1,1,"26653323","iTAP"
"China postdoctoral science foundation",1,1,1,"27465544","IGDD"
"Anhui provincial Natural Science Foundation",1,1,1,"27465544","IGDD"
"the Natural Science Foundation of China",1,1,1,"27465544","IGDD"
"the Innovative Research Team of the Educational Department of China",1,1,1,"27465544","IGDD"
"the PAPD (Priority Academic Program Development) program at Nanjing Forestry University",1,1,1,"27465544","IGDD"
"the National Basic Research Project",1,1,1,"27465544","IGDD"
"CANARIE",1,1,1,"27863956","IHEC"
"Genome Québec",1,1,1,"27863956","IHEC"
"Calcul Québec",1,1,1,"27863956","IHEC"
"Genome Canada",6,6,6,"27863956, 33683131, 26251998, 32442307, 31665441, 31701148","IHEC, MRMAssayDB, PhenomeCentral, SYNERGxDB, CARD, JASPAR"
"Compute Canada",1,1,1,"27863956","IHEC"
"Universidad Nacional de Colombia sede Medellín",1,1,1,"27888793","InverPep"
"NHLBI Intramural Program",1,1,1,"27974320","Mammalian Metabolic Enzyme Database"
"French Foundation for Research &amp; Biodiversity (FRB)",1,1,1,"28168018","IRBAS"
"IRBAS",1,1,1,"28168018","IRBAS"
"Centre for Synthesis and Analysis of Biodiversity (CESAB)",1,1,1,"28168018","IRBAS"
"French National Agency for Water and Aquatic Environments (ONEMA)",1,1,1,"28168018","IRBAS"
"Ministry of Science and Technology of China",2,2,2,"29029599, 32911083","LiverWiki, MosaicBase"
"ReumaFonds",1,1,1,"29047407","Infevers"
"Executive Agency for Health and Consumers",1,1,1,"29047407","Infevers"
"Italian PRIN",1,1,1,"29179110","LAND-deFeND"
"Italian National Department for Civil Protection",1,1,1,"29179110","LAND-deFeND"
"PRIN",1,1,1,"29179110","LAND-deFeND"
"DPC",1,1,1,"29179110","LAND-deFeND"
"Fondazione Assicurazioni Generali",1,1,1,"29179110","LAND-deFeND"
"Resources of the Laboratory of Computational Molecular Design and Metabolomics",1,1,1,"29648583","LipidPedia"
"Department of Computer Science and Information Engineering of National Taiwan University",1,1,1,"29648583","LipidPedia"
"NORTE2020",1,1,1,"29899596","LEGE"
"H2020 Health",1,1,1,"29899596","LEGE"
"The Department of Science and Technology, Government of Gujarat",1,1,1,"29905762","LeptoDB"
"Japan Science and Technology Agency (JST)",1,1,1,"30046160","KampoDB"
"International Scientific and Technological Cooperation project of China",2,1,1,"30252093","iProX"
"Agricultural Science and Technology Innovation Program",1,1,1,"30276831","lncRNAnet"
"Key Laboratory of Shenzhen",1,1,1,"30276831","lncRNAnet"
"National Key Basic Research Program of China",2,1,1,"30276831","lncRNAnet"
"Spanish Government",1,1,1,"30357370","liqDB"
"Ministry of Education of Spain",2,1,1,"30357370","liqDB"
"Postdoctoral Science Foundation of China",3,2,2,"30476305, 33219686","LncACTdb, LnCeCell"
"Innovative Talents of Science and Technology Research",5,2,2,"30476305, 30407549","LncACTdb, Lnc2Cancer"
"Portuguese Science and Technology Foundation",1,1,1,"30820574","Mammalian Stress Granules Proteome"
"Ataxia UK",2,1,1,"30820574","Mammalian Stress Granules Proteome"
"French Muscular Dystrophy Association",1,1,1,"30820574","Mammalian Stress Granules Proteome"
"Vinmec Healthcare System",1,1,1,"31180159","KHV"
"Yu Weihan Outstanding Youth Training Fund of Harbin Medical University",1,1,1,"31598675","KnockTF"
"Wu Liande Youth Science Research Fund of Harbin Medical University",1,1,1,"31598675","KnockTF"
"Scientific Research Fund of Harbin Medical University",1,1,1,"31598675","KnockTF"
"TULIP",1,1,1,"31605615","LeGOO"
"Laboratoire d’Excellence",1,1,1,"31605615","LeGOO"
"LABEX",1,1,1,"31605615","LeGOO"
"Postdoctoral Foundation of Hei Long Jiang Province",2,2,2,"31617563, 33219686","LnCeVar, LnCeCell"
"University Nursing Program for Young Scholars with Creative Talents in Heilongjiang Province",1,1,1,"31617563","LnCeVar"
"USDA National Institute of Food and Agriculture",1,1,1,"31648227","MANET"
"Joint Genome Institute",1,1,1,"31665416","Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters"
"Lawrence Berkeley National Laboratory",1,1,1,"31665416","Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters"
"Wuhan University",2,2,2,"31665439, 32168374","MaGenDB, uORFlight"
"National Center for Advancing Translational Sciences",2,2,2,"31701147, 31837751","LINCS, VetCOT"
"Heilongjiang Provincial Health and Family Planning Commission of Science Foundation",2,1,1,"31713618","LncTarD"
"Hei Long Jiang Postdoctoral Foundation",2,1,1,"31713618","LncTarD"
"Fundamental Research Funds for the Provincial Universities",4,3,3,"31713618, 32487016, 31799597","LncTarD, ncRI, RNAactDrug"
"China Postdoctoral Science Special Foundation",1,1,1,"31713618","LncTarD"
"Heilongjiang Provincial planning office key subjects",1,1,1,"31713618","LncTarD"
"AstraZeneca",1,1,1,"31838187","International Severe Asthma Registry"
"Natural Science Foundation of Beijing Municipality",2,2,2,"32028878, 32248093","laPPISite, TE141K1"
"Post-genome Multi-ministerial Project",2,1,1,"32133509","KRGDB"
"Natural Science Foundation of Shaanxi Provincial Department of Education",1,1,1,"32228437","iMarmot"
"China Postdoctoral Science Foundation Grant",1,1,1,"32228437","iMarmot"
"Key Research Fund on Sciences and Technologies for Joint Academic Institute and Local Enterprises of Sichuan",1,1,1,"32367112","MACSNVdb"
"Narodowe Centrum Nauki",14,4,4,"32499815, 33502860, 29624889, 26141515","LuluDB, InterMetalDB, PhyMet2, mirEX"
"Scientific Research Foundation of Nanjing Medical University",1,1,1,"32512182","IRESbase"
"Program for Distinguished Talents of Six Domains in Jiangsu Province",1,1,1,"32512182","IRESbase"
"Natural Science Foundation of the Jiangsu Higher Education Institutions",1,1,1,"32512182","IRESbase"
"Fok Ying Tung Education Foundation",1,1,1,"32512182","IRESbase"
"ERC INTEGRATE",1,1,1,"32618424","LymphoAtlas"
"CNRS, INSERM",1,1,1,"32618424","LymphoAtlas"
"MSDAVENIR Fund",1,1,1,"32618424","LymphoAtlas"
"PHENOMIN",1,1,1,"32618424","LymphoAtlas"
"Investissement d&apos;Avenir program of the French Ministry of Research ProFI",1,1,1,"32618424","LymphoAtlas"
"West China Hospital, Sichuan University",2,1,1,"32820322","LncAS2Cancer"
"Sichuan Province Science and Technology Support Program",1,1,1,"32820322","LncAS2Cancer"
"Sichuan University",3,2,2,"32820322, 33068436","LncAS2Cancer, tsRBase"
"National Natural Science Foundation of China (National Science Foundation of China)",7,2,2,"32821400, 33514746","Kiwifruit Genome Database, NGD"
"National Science Foundation (NSF)",1,1,1,"32821400","Kiwifruit Genome Database"
"National Science Foundation of Heilongjiang Province",1,1,1,"33045741","LncSEA"
"Youth Innovation Promotion Association of Chinese Academy of Sciences",2,2,2,"33045751, 33170268","LncExpDB, GVM"
"K. C. Wong Education Foundation",2,2,2,"33045751, 33175170","LncExpDB, 2019nCoVR"
"Council of Scientific and Industrial Research (CSIR), India",2,1,1,"33095885","IndiGenomes"
